1,Beans,83,181,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food.[1] They can be cooked in many different ways,[2] including boiling, frying, and baking, and are used in many traditional dishes throughout the world.",1
2,Rice,30,7590,Rice is the seed of the grass species Oryza sativa or less commonly Oryza glaberrima.,2
3,Potato,53,8124,The potato is a starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas.,3
4,Lettuce,56,9321,Lettuce (Lactuca sativa) is an annual plant of the family Asteraceae.,4
5,Red Beans,77,2262,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food.[1] They can be cooked in many different ways,[2] including boiling, frying, and baking, and are used in many traditional dishes throughout the world. But it is Red",5
6,Red Rice,75,2882,Rice is the seed of the grass species Oryza sativa or less commonly Oryza glaberrima. But it is Red,6
7,Red Potato,44,8719,The potato is a starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas. But it is Red,7
8,Red Lettuce,30,6080,Lettuce (Lactuca sativa) is an annual plant of the family Asteraceae. But it is Red,8
9,Blue Beans,79,1311,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food.[1] They can be cooked in many different ways,[2] including boiling, frying, and baking, and are used in many traditional dishes throughout the world. But it is Blue",9
10,Blue Rice,12,2005,Rice is the seed of the grass species Oryza sativa or less commonly Oryza glaberrima. But it is Blue,10
11,Blue Potato,76,8659,The potato is a starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas. But it is Blue,11
12,Blue Lettuce,9,5585,Lettuce (Lactuca sativa) is an annual plant of the family Asteraceae. But it is Blue,12
13,Hard Beans,25,4075,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food.[1] They can be cooked in many different ways,[2] including boiling, frying, and baking, and are used in many traditional dishes throughout the world. But it is Hard",13
14,Hard Rice,90,5901,Rice is the seed of the grass species Oryza sativa or less commonly Oryza glaberrima. But it is Hard,14
15,Hard Potato,28,630,The potato is a starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas. But it is Hard,15
16,Hard Lettuce,57,6766,Lettuce (Lactuca sativa) is an annual plant of the family Asteraceae. But it is Hard,16
17,Clear Beans,28,2062,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food.[1] They can be cooked in many different ways,[2] including boiling, frying, and baking, and are used in many traditional dishes throughout the world. But it is Clear",17
18,Clear Rice,65,489,Rice is the seed of the grass species Oryza sativa or less commonly Oryza glaberrima. But it is Clear,18
19,Clear Potato,38,7194,The potato is a starchy tuber of the plant Solanum tuberosum and is a root vegetable native to the Americas. But it is Clear,19